SMILES,SENTENCE
CC1(C=C(C)C(CC1)C(=O)/C=C/C)C,"fruity,rose"
O=C(/C=C/C)C1CCC(C)(C)C=C1C,"fruity,rose"
C(=C/C)\C(C1CCC(C=C1C)(C)C)=O,"fruity,rose"
C/C=C/C(C1CCC(C)(C)C=C1C)=O,"fruity,rose"
C/C=C/C(C1CCC(C)(C=C1C)C)=O,"fruity,rose"
C/C=C/C(=O)C1CCC(C=C1C)(C)C,"fruity,rose"
O=C(/C=C/C)C1C(=CC(C)(C)CC1)C,"fruity,rose"
C(\C(=O)C1CCC(C)(C)C=C1C)=C/C,"fruity,rose"
C(\C)=C/C(=O)C1C(=CC(C)(CC1)C)C,"fruity,rose"
C(C1CCC(C)(C)C=C1C)(=O)/C=C/C,"fruity,rose"
O=C(/C=C/C)C1C(C)=CC(C)(CC1)C,"fruity,rose"
C1(C)C(CCC(C=1)(C)C)C(=O)/C=C/C,"fruity,rose"
C1C(C)(C=C(C)C(C1)C(/C=C/C)=O)C,"fruity,rose"
C1C(C=C(C)C(C1)C(/C=C/C)=O)(C)C,"fruity,rose"
O=C(/C=C/C)C1C(C)=CC(CC1)(C)C,"fruity,rose"
C1CC(C=C(C)C1C(=O)/C=C/C)(C)C,"fruity,rose"
C/C=C/C(C1C(=CC(C)(CC1)C)C)=O,"fruity,rose"
CC1=CC(CCC1C(=O)/C=C/C)(C)C,"fruity,rose"
C/C=C/C(=O)C1CCC(C)(C=C1C)C,"fruity,rose"
CC1=CC(C)(C)CCC1C(=O)/C=C/C,"fruity,rose"
C(/C=C/C)(=O)C1CCC(C=C1C)(C)C,"fruity,rose"
O(C(=O)OC)C,"fresh,ethereal,fruity"
COC(OC)=O,"fresh,ethereal,fruity"
COC(=O)OC,"fresh,ethereal,fruity"
C(OC)(=O)OC,"fresh,ethereal,fruity"
C(=O)(OC)OC,"fresh,ethereal,fruity"
O(C(OC)=O)C,"fresh,ethereal,fruity"
O(C)C(OC)=O,"fresh,ethereal,fruity"
O(C)C(=O)OC,"fresh,ethereal,fruity"
